cod_ibge,municipio_x,fatal_crashes,deaths,truck_fatal,truck_deaths,municipio_y,pop_2022,deaths_per_100k_11yr,truck_share_pct
3512605,CORONEL MACEDO,14,15,2,2.0,Coronel Macedo,4280,350.5,14.3
3548401,SANTOPOLIS DO AGUAPEI,14,15,8,9.0,Santópolis do Aguapeí,3899,384.7,57.1
3544202,RIOLANDIA,14,15,2,2.0,Riolândia,10309,145.5,14.3
3508207,BURITIZAL,14,15,5,5.0,Buritizal,4356,344.4,35.7
3519253,IARAS,14,15,5,5.0,Iaras,8010,187.3,35.7
3557204,CHAVANTES,14,15,1,1.0,Chavantes,12211,122.8,7.1
3517901,GUARACI,12,15,1,1.0,Guaraci,10350,144.9,8.3
3552304,SUD MENNUCCI,13,15,5,5.0,Sud Mennucci,7355,203.9,38.5
3536604,PAULO DE FARIA,14,14,6,6.0,Paulo de Faria,7400,189.2,42.9
3507704,BRAUNA,13,14,3,4.0,Braúna,5356,261.4,23.1
3532801,NOVA ALIANCA,14,14,3,3.0,Nova Aliança,6693,209.2,21.4
3543501,RIVERSUL,11,14,3,4.0,Riversul,5599,250.0,27.3
3534203,ORINDIUVA,13,14,4,4.0,Orindiúva,6024,232.4,30.8
3551108,SARAPUI,13,14,2,2.0,Sarapuí,10369,135.0,15.4
3541059,PRATANIA,8,14,4,9.0,Pratânia,5126,273.1,50.0
3537701,PIACATU,13,14,2,2.0,Piacatu,5519,253.7,15.4
3526506,LAVINIA,14,14,5,5.0,Lavínia,9689,144.5,35.7
3553658,TAQUARAL,14,14,7,7.0,Taquaral,2619,534.6,50.0
3554409,TERRA ROXA,12,14,2,2.0,Terra Roxa,7904,177.1,16.7
3501202,ALVARES FLORENCE,12,14,2,2.0,Álvares Florence,3915,357.6,16.7
3546256,SANTA CRUZ DA ESPERANCA,12,13,3,3.0,Santa Cruz da Esperança,2116,614.4,25.0
3514924,ELISIARIO,12,13,4,5.0,Elisiário,3138,414.3,33.3
3546900,SANTA LUCIA,11,13,5,6.0,Santa Lúcia,7149,181.8,45.5
3547106,SANTA MERCEDES,9,13,2,4.0,Santa Mercedes,2956,439.8,22.2
3551207,SARUTAIA,10,13,1,1.0,Sarutaiá,3704,351.0,10.0
3531209,MONTE ALEGRE DO SUL,13,13,0,0.0,Monte Alegre do Sul,8627,150.7,0.0
3509304,CAJOBI,11,13,0,0.0,Cajobi,9133,142.3,0.0
3507159,BOM SUCESSO DE ITARARE,10,13,3,4.0,Bom Sucesso de Itararé,3555,365.7,30.0
3557154,ZACARIAS,12,13,0,0.0,Zacarias,2692,482.9,0.0
3531704,MONTEIRO LOBATO,13,13,2,2.0,Monteiro Lobato,4138,314.2,15.4
3547601,SANTA ROSA DE VITERBO,12,13,2,2.0,Santa Rosa de Viterbo,23411,55.5,16.7
3509452,CAMPINA DO MONTE ALEGRE,11,12,5,5.0,Campina do Monte Alegre,5954,201.5,45.5
3528700,MARABA PAULISTA,12,12,4,4.0,Marabá Paulista,4573,262.4,33.3
3504909,BANANAL,11,12,1,1.0,Bananal,9969,120.4,9.1
3540408,POPULINA,11,12,1,1.0,Populina,4127,290.8,9.1
3506201,BENTO DE ABREU,11,12,4,5.0,Bento de Abreu,2606,460.5,36.4
3520707,INDIAPORA,7,12,0,0.0,Indiaporã,4035,297.4,0.0
3546009,SANTA BRANCA,11,12,3,3.0,Santa Branca,13975,85.9,27.3
