cod_ibge,municipio,pop_2022
3548609,São Bento do Sapucaí,11674
3548708,São Bernardo do Campo,810729
3548807,São Caetano do Sul,165655
3548906,São Carlos,254857
3549003,São Francisco,2602
3549102,São João da Boa Vista,92547
3549201,São João das Duas Pontes,2580
3549250,São João de Iracema,1846
3549300,São João do Pau d'Alho,2242
3549409,São Joaquim da Barra,48558
3549508,São José da Bela Vista,7626
3549607,São José do Barreiro,3853
3549706,São José do Rio Pardo,52205
3549805,São José do Rio Preto,480393
3549904,São José dos Campos,697054
3549953,São Lourenço da Serra,16067
3550001,São Luiz do Paraitinga,10337
3550100,São Manuel,37289
3550209,São Miguel Arcanjo,32039
3550308,São Paulo,11451999
3550407,São Pedro,38256
3550506,São Pedro do Turvo,7217
3550605,São Roque,79484
3550704,São Sebastião,81595
3550803,São Sebastião da Grama,10441
3550902,São Simão,13442
3551009,São Vicente,329911
3551108,Sarapuí,10369
3551207,Sarutaiá,3704
3551306,Sebastianópolis do Sul,3130
3551405,Serra Azul,12746
3551504,Serrana,43909
3551603,Serra Negra,29894
3551702,Sertãozinho,126887
3551801,Sete Barras,12730
3551900,Severínia,14576
3552007,Silveiras,6186
3552106,Socorro,40122
3552205,Sorocaba,723682
3552304,Sud Mennucci,7355
3552403,Sumaré,279545
3552502,Suzano,307429
3552551,Suzanápolis,3408
3552601,Tabapuã,11323
3552700,Tabatinga,14769
3552809,Taboão da Serra,273542
3552908,Taciba,6260
3553005,Taguaí,12669
3553104,Taiaçu,5677
3553203,Taiúva,6548
3553302,Tambaú,21435
3553401,Tanabi,25265
3553500,Tapiraí,7996
3553609,Tapiratiba,11816
3553658,Taquaral,2619
3553708,Taquaritinga,52260
3553807,Taquarituba,24350
3553856,Taquarivaí,6876
3553906,Tarabai,6536
3553955,Tarumã,14882
3554003,Tatuí,123942
3554102,Taubaté,310739
3554201,Tejupá,4127
3554300,Teodoro Sampaio,22173
3554409,Terra Roxa,7904
3554508,Tietê,37663
3554607,Timburi,2464
3554656,Torre de Pedra,2046
3554706,Torrinha,9335
3554755,Trabiju,1682
3554805,Tremembé,51173
3554904,Três Fronteiras,6804
3554953,Tuiuti,6778
3555000,Tupã,63928
3555109,Tupi Paulista,15854
3555208,Turiúba,1818
3555307,Turmalina,1669
3555356,Ubarana,5365
3555406,Ubatuba,92981
3555505,Ubirajara,5132
3555604,Uchoa,10394
3555703,União Paulista,1603
3555802,Urânia,8833
3555901,Uru,1387
3556008,Urupês,13744
3556107,Valentim Gentil,14098
3556206,Valinhos,126373
3556305,Valparaíso,24241
3556354,Vargem,10512
3556404,Vargem Grande do Sul,40133
3556453,Vargem Grande Paulista,50415
3556503,Várzea Paulista,115771
3556602,Vera Cruz,10176
3556701,Vinhedo,76540
3556800,Viradouro,17414
3556909,Vista Alegre do Alto,8109
3556958,Vitória Brasil,1794
3557006,Votorantim,127923
3557105,Votuporanga,96634
3557154,Zacarias,2692
3557204,Chavantes,12211
3557303,Estiva Gerbi,11295
